questionId,block,type,question,answer,normalized_curiosity,normalized_log_diagnosicity,comment
TB_01_TR,third,Trivia,"What country is home to Roots, the company that outfits the U.S. Olympic team?",Canada,-2.7712415,1.95285018,
TB_02_TR,third,Trivia,"The world's largest church is Our Lady of Peace Basilica in Yamoussoukro, what nation's capital?",Ivory Coast's,-2.1078316,1.87182145,
TB_03_TR,third,Trivia,What 1993 film's title character has the first name Euphegenia?,Mrs. Doubtfire's,-1.9413601,1.32164136,
TB_04_TR,third,Trivia,"In 1964, who founded Blue Ribbon Sports, which later went on to become Nike?",Phil Knight,-1.4452006,1.89104412,
TB_05_TR,third,Trivia,What city's harbor is overlooked by Victoria Peak?,Hong Kong,-1.3206945,2.3241274,
TB_06_TR,third,Trivia,What 1980 film is named for the legendary square-shaped capital of Kublai Khan?,Xanadu,-1.1490821,1.87987574,
TB_07_TR,third,Trivia,What New York country club lent its name to the kind of dinner jacket first worn there in 1886?,Tuxedo Club,-1.0550642,2.34994082,
TB_08_TR,third,Trivia,"In 1802, John Beckley became the librarian of what collection containing 740 books at the time?",Library of Congress,-0.7407983,1.67110218,
TB_09_TR,third,Trivia,"What did Ray Tomlinson send in Cambridge, Massachusetts, in late 1971?",The first email,-0.5050674,2.39432433,
TB_10_TR,third,Trivia,Who was the last British Monarch to also be an emperor?,George VI,-0.2960876,1.32687348,
TB_11_TR,third,Trivia,What kind of bean produces the Asian-style bean sprouts in the produce section of supermarkets?,Mung beans,-0.0590454,1.46836986,
TB_12_TR,third,Trivia,"Why is Oneida Lake, near Syracuse, New York, sometimes called ""the thumb""?",It sits beside the Finger Lakes,0.12826231,1.50292657,
TB_13_TR,third,Trivia,On what namesake Asian island are the first Homo erectus fossils found?,Java,0.23347277,2.30630372,
TB_14_TR,third,Trivia,"When asked to define ""cool,"" what two words did James Brown use?",James Brown,0.40133445,1.51120178,
TB_15_TR,third,Trivia,The United States' first law school for woman was named for what cross-dressing Shakespearean character?,Portia,0.561401,1.59253576,
TB_16_TR,third,Trivia,Alan Shepard was scheduled to command the ill-fated Apollo 13 before switching missions with what astronaut?,Jim Lovell,0.81036407,1.69437436,
TB_17_TR,third,Trivia,What part of his body did Keith Richards insure for a million pounds?,"Third finger, left hand",1.02946374,1.0108646,
TB_18_TR,third,Trivia,Who was flying the plane in which the first US airplane fatality occurred?,Orville Wright,1.1540265,1.55957974,
TB_19_TR,third,Trivia,The only vegetable ice cream ever produced was what flavor?,Ketchup,1.21041798,0.85529664,
